url,branch,target_dir,category,description
https://github.com/arceos-org/arceos,dev,os/arceos,OS,ArceOS
https://github.com/arceos-hypervisor/axvisor,,os/axvisor,OS,axvisor - ArceOS Hypervisor
https://github.com/Starry-OS/StarryOS,,os/StarryOS,OS,StarryOS - 教学操作系统
https://github.com/arceos-hypervisor/aarch64_sysreg,,components/aarch64_sysreg,Hypervisor,
https://github.com/arceos-hypervisor/axaddrspace,,components/axaddrspace,Hypervisor,
https://github.com/arceos-hypervisor/axdevice,,components/axdevice,Hypervisor,
https://github.com/arceos-hypervisor/axdevice_base,,components/axdevice_base,Hypervisor,
https://github.com/arceos-hypervisor/axhvc,,components/axhvc,Hypervisor,
https://github.com/arceos-hypervisor/axklib,,components/axklib,Hypervisor,
https://github.com/arceos-hypervisor/axvcpu,,components/axvcpu,Hypervisor,
https://github.com/arceos-hypervisor/axvisor_api,,components/axvisor_api,Hypervisor,
https://github.com/arceos-hypervisor/axvm,,components/axvm,Hypervisor,
https://github.com/arceos-hypervisor/axvmconfig,,components/axvmconfig,Hypervisor,
https://github.com/arceos-hypervisor/range-alloc,,components/range-alloc-arceos,Hypervisor,
https://github.com/arceos-hypervisor/x86_vcpu,,components/x86_vcpu,Hypervisor,
https://github.com/arceos-hypervisor/x86_vlapic.git,,components/x86_vlapic,Hypervisor,
https://github.com/arceos-hypervisor/arm_vcpu,,components/arm_vcpu,Hypervisor,
https://github.com/arceos-hypervisor/arm_vgic,,components/arm_vgic,Hypervisor,
https://github.com/arceos-hypervisor/riscv_vcpu,,components/riscv_vcpu,Hypervisor,
https://github.com/arceos-hypervisor/riscv-h,,components/riscv-h,Hypervisor,
https://github.com/arceos-hypervisor/riscv_vplic,,components/riscv_vplic,Hypervisor,
https://github.com/arceos-org/allocator,,components/axallocator,ArceOS,
https://github.com/arceos-org/axconfig-gen,,components/axconfig-gen,ArceOS,
https://github.com/arceos-org/ax-cpu,dev,components/axcpu,ArceOS,
https://github.com/arceos-org/axerrno,,components/axerrno,ArceOS,
https://github.com/arceos-org/axio,dev2,components/axio,ArceOS,
https://github.com/arceos-org/axsched,,components/axsched,ArceOS,
https://github.com/arceos-org/cpumask,,components/cpumask,ArceOS,
https://github.com/arceos-org/crate_interface,,components/crate_interface,ArceOS,
https://github.com/arceos-org/ctor_bare,,components/ctor_bare,ArceOS,
https://github.com/arceos-org/ax-handler-table,,components/handler_table,ArceOS,
https://github.com/arceos-org/kernel_guard,,components/kernel_guard,ArceOS,
https://github.com/arceos-org/kspin,,components/kspin,ArceOS,
https://github.com/arceos-org/lazyinit,,components/ax-lazyinit,ArceOS,
https://github.com/arceos-org/linked_list_r4l,,components/linked_list_r4l,ArceOS,
https://github.com/arceos-org/axmm_crates,,components/axmm_crates,ArceOS,
https://github.com/arceos-org/page_table_multiarch,,components/page_table_multiarch,ArceOS,
https://github.com/arceos-org/percpu,dev,components/percpu,ArceOS,
https://github.com/arceos-org/timer_list,,components/timer_list,ArceOS,
https://github.com/arceos-org/axdriver_crates,dev,components/axdriver_crates,ArceOS,
https://github.com/arceos-org/axplat_crates,dev,components/axplat_crates,ArceOS,
https://github.com/arceos-org/ax-int-ratio,,components/int_ratio,ArceOS,
https://github.com/arceos-org/cap_access,,components/cap_access,ArceOS,
https://github.com/arceos-org/arm_pl011,,components/arm_pl011,ArceOS,
https://github.com/arceos-org/arm_pl031,,components/arm_pl031,ArceOS,
https://github.com/arceos-org/riscv_plic,,components/riscv_plic,ArceOS,
https://github.com/rcore-os/bitmap-allocator,,components/bitmap-allocator,rCore,
https://github.com/Starry-OS/axbacktrace,,components/axbacktrace,Starry,
https://github.com/Starry-OS/axpoll,,components/axpoll,Starry,
https://github.com/Starry-OS/axfs-ng-vfs,,components/axfs-ng-vfs,Starry,
https://github.com/Starry-OS/rsext4,,components/rsext4,Starry,
https://github.com/Starry-OS/scope-local,,components/scope-local,Starry,
https://github.com/Starry-OS/starry-process,,components/starry-process,Starry,
https://github.com/Starry-OS/starry-signal,,components/starry-signal,Starry,
https://github.com/Starry-OS/starry-vm,,components/starry-vm,Starry,
https://github.com/Starry-OS/smoltcp,,components/starry-smoltcp,Starry,
https://github.com/arceos-org/axfs_crates,main,components/axfs_crates,ArceOS,
https://github.com/DeathWish5/fxmac_rs,,components/fxmac_rs,ArceOS,
https://github.com/drivercraft/rknpu,,drivers/npu/rockchip-npu,drivers,
https://github.com/drivercraft/rockchip-pm,,drivers/soc/rockchip/rockchip-pm,drivers,
https://github.com/drivercraft/rockchip-soc,,drivers/soc/rockchip/rockchip-soc,,
https://github.com/drivercraft/arm-scmi.git,,components/arm-scmi-rs,Starry,
